director_id,first_name,last_name,birth_year
1,Christopher,Nolan,1970
2,James,Cameron,1954
3,Lana,Wachowski,1965
4,Francis Ford Coppola,1939
5,Steven Spielberg,1946
6,Robert Zemeckis,1951
7,Quentin Tarantino,1963
8,Darrel Roodt,1958
